Property_ID,Market_Value,Monthly_Rent
Unit_001,596977,2765
Unit_002,285983,1519
Unit_003,499702,2319
Unit_004,194322,3220
Unit_005,273665,1444
Unit_006,546141,1468
Unit_007,440718,2613
Unit_008,248889,3257
Unit_009,186546,2512
Unit_010,228113,2658
Unit_011,315694,2211
Unit_012,484986,2122
Unit_013,264045,1358
Unit_014,523128,1372
Unit_015,194921,1417
Unit_016,284180,2467
Unit_017,418816,1231
Unit_018,579361,3115
Unit_019,553988,1035
Unit_020,488243,2478
Unit_021,313515,1971
Unit_022,327484,3387
Unit_023,364729,1601
Unit_024,382309,1617
Unit_025,243616,2720
Unit_026,168894,946
Unit_027,278058,817
Unit_028,250204,3127
Unit_029,395331,2083
Unit_030,532644,864
Unit_031,183558,1909
Unit_032,570386,1098
Unit_033,273525,2660
Unit_034,213093,2828
Unit_035,487415,2168
Unit_036,433010,1916
Unit_037,289251,1863
Unit_038,558516,2519
Unit_039,357998,1276
Unit_040,520093,2924
Unit_041,368617,2550
Unit_042,426799,924
Unit_043,389781,2911
Unit_044,196546,3406
Unit_045,396894,2418
Unit_046,304130,2502
Unit_047,461701,1624
Unit_048,522224,1476
Unit_049,202085,2815
Unit_050,406433,2509
Unit_051,544229,2783
Unit_052,465837,1749
Unit_053,204418,3431
Unit_054,177379,2020
Unit_055,156344,2463
Unit_056,263462,1548
Unit_057,342575,1910
Unit_058,154334,1262
Unit_059,598661,1940
Unit_060,494261,1054
Unit_061,530047,2215
Unit_062,575227,3481
Unit_063,226203,1105
Unit_064,407752,936
Unit_065,232210,2719
Unit_066,586455,2234
Unit_067,170153,3009
Unit_068,201515,2869
Unit_069,378345,1988
Unit_070,363296,3059
Unit_071,458118,2943
Unit_072,197653,2323
Unit_073,208026,2157
Unit_074,479617,2270
Unit_075,492016,1327
Unit_076,572507,1857
Unit_077,483262,2597
Unit_078,334659,3065
Unit_079,460851,1024
Unit_080,226069,847
Unit_081,483904,928
Unit_082,402144,2768
Unit_083,409890,2911
Unit_084,536655,829
Unit_085,497204,1610
Unit_086,541641,2304
Unit_087,207930,2522
Unit_088,510036,1314
Unit_089,535039,3220
Unit_090,498076,2067
Unit_091,274720,3013
Unit_092,552157,2044
Unit_093,508673,1222
Unit_094,344665,1066
Unit_095,564454,1442
Unit_096,449393,1453
Unit_097,401200,923
Unit_098,174464,1731
Unit_099,399090,2573
Unit_100,197795,2421
Unit_101,274445,2703
Unit_102,503865,2116
Unit_103,406905,2961
Unit_104,547350,3291
Unit_105,261441,3487
Unit_106,406898,2972
Unit_107,442620,896
Unit_108,277763,2788
Unit_109,576622,2352
Unit_110,391422,3302
Unit_111,333095,1208
Unit_112,459885,2340
Unit_113,361264,1435
Unit_114,192975,2340
Unit_115,165910,3272
Unit_116,479911,2098
Unit_117,470956,1004
Unit_118,264113,2758
Unit_119,306699,1577
Unit_120,457568,1774
Unit_121,376481,3361
Unit_122,342064,1213
Unit_123,476811,1787
Unit_124,393573,2982
Unit_125,374768,1152
Unit_126,536709,1897
Unit_127,535532,1390
Unit_128,228283,1257
Unit_129,554201,1234
Unit_130,440146,1785
Unit_131,546736,2900
Unit_132,176117,3455
Unit_133,389128,1252
Unit_134,387882,1940
Unit_135,386747,1937
Unit_136,169791,1817
Unit_137,282078,3167
Unit_138,463902,2529
Unit_139,536871,1476
Unit_140,458112,3352
Unit_141,540097,1814
Unit_142,324332,807
Unit_143,255373,2426
Unit_144,461827,975
Unit_145,536945,1314
Unit_146,287797,2359
Unit_147,443574,1497
Unit_148,432018,1765
Unit_149,174093,1591
Unit_150,404290,3257
Unit_151,219255,2984
Unit_152,475629,1690
Unit_153,192061,3156
Unit_154,306973,1503
Unit_155,349840,1257
Unit_156,239573,2610
Unit_157,450802,3429
Unit_158,333773,2855
Unit_159,502433,3177
Unit_160,590881,1609
Unit_161,340576,1787
Unit_162,487609,3364
Unit_163,506472,3254
Unit_164,158889,1265
Unit_165,395734,1122
Unit_166,587131,1496
Unit_167,262750,3377
Unit_168,514189,3208
Unit_169,286501,1201
Unit_170,495669,1684
Unit_171,521050,1475
Unit_172,417519,2176
Unit_173,255655,2935
Unit_174,425150,2225
Unit_175,556756,3219
Unit_176,420064,1326
Unit_177,308874,2576
Unit_178,257594,2338
Unit_179,264479,2959
Unit_180,406058,3213
Unit_181,424134,2029
Unit_182,587713,2072
Unit_183,267198,1955
Unit_184,402457,3059
Unit_185,376733,2970
Unit_186,502725,3138
Unit_187,296695,1245
Unit_188,192370,2435
Unit_189,191580,2681
Unit_190,441614,1038
Unit_191,157565,1306
Unit_192,365432,3390
Unit_193,553406,1408
Unit_194,467189,2949
Unit_195,443402,1470
Unit_196,430495,1854
Unit_197,506778,2888
Unit_198,154345,1888
Unit_199,377414,3186
Unit_200,582109,2320
